R1,R2,R3,R4,R5,R6
1,7,15,30,31,34
6,9,18,21,29,31
3,13,15,17,18,21
1,5,7,10,28,29
13,18,25,29,32,38
6,17,23,32,37,39
8,11,13,16,25,31
6,9,13,24,26,35
4,7,13,18,25,36
2,5,8,21,26,37
2,5,17,18,19,38
12,14,15,30,33,37
5,6,22,34,35,38
11,16,23,24,26,37
3,11,12,14,28,32
2,3,11,30,32,34
3,10,13,19,29,31
1,5,19,26,31,34
2,14,22,24,32,33
1,4,16,19,27,37
2,3,6,12,16,23
1,4,8,24,31,38
2,3,12,19,22,36
9,16,26,28,33,35
2,3,10,12,15,39
6,18,26,27,29,37
9,10,11,28,31,39
6,12,18,22,27,35
2,12,16,17,18,30
3,4,7,22,24,39
2,10,14,16,21,27
13,15,18,21,25,35
2,3,7,10,18,24
1,12,13,20,33,35
10,15,17,26,35,37
6,10,24,28,33,36
1,4,7,15,22,32
4,9,10,23,25,32
1,5,8,10,12,31
6,11,26,27,33,36
2,5,15,24,32,37
10,11,18,22,23,28
8,14,18,27,30,33
5,6,19,20,35,38
4,6,21,24,28,31
6,8,22,26,34,38
4,14,21,23,27,32
8,11,13,17,30,32
5,9,15,20,30,37
9,21,23,25,33,36
6,8,9,13,27,37
17,18,19,30,31,38
18,26,27,28,29,31
2,11,13,20,23,29
3,10,17,25,31,36
4,12,17,18,25,26
7,10,17,18,29,32
16,18,25,28,29,31
4,8,17,19,22,38
9,22,23,26,27,30
3,6,9,14,21,26
3,11,14,26,29,37
23,26,34,35,37,39
6,7,9,12,31,39
5,9,16,17,32,33
1,4,15,20,33,39
13,18,20,23,29,37
8,10,28,30,35,37
5,6,14,21,23,25
5,13,23,26,27,30
1,7,10,23,33,38
4,7,12,23,26,37
1,11,15,32,36,39
5,7,13,19,37,38
8,9,13,21,24,29
5,7,23,26,27,34
10,17,21,23,28,39
6,8,12,34,38,39
2,14,18,20,29,37
3,4,6,12,22,24
9,15,20,27,28,38
2,3,14,17,30,38
4,6,11,25,26,38
3,14,17,18,24,38
8,11,16,21,27,38
6,8,20,30,31,32
2,3,13,14,17,24
6,10,15,21,23,33
3,6,7,8,31,37
4,8,9,19,24,27
8,15,23,33,37,38
1,8,10,29,31,33
7,19,21,29,33,35
3,17,19,20,21,35
4,5,10,18,20,30
2,15,21,25,32,36
6,12,13,26,36,37
7,8,23,28,31,38
1,7,9,21,33,38
3,22,25,30,36,37
2,8,17,29,36,39
3,15,17,23,31,36
2,14,22,24,26,30
2,7,8,14,15,21
4,8,24,25,26,39
3,11,24,32,34,38
4,7,19,26,31,34
17,18,24,28,30,35
3,6,19,26,34,38
1,4,8,16,26,36
7,14,16,25,30,38
10,12,14,17,26,37
1,2,4,19,32,36
6,10,11,25,33,34
3,5,16,19,26,39
4,8,14,17,33,39
3,4,7,17,21,38
1,3,10,19,27,30
3,8,15,20,31,35
1,4,5,8,21,30
8,13,23,26,36,38
14,19,30,31,35,39
8,13,18,28,34,39
7,21,23,24,26,28
3,12,20,22,29,34
2,11,21,24,29,35
2,3,8,21,23,29
9,14,18,19,25,35
2,7,22,25,27,31
10,12,15,22,27,34
12,15,25,30,32,38
3,8,19,25,34,38
20,23,24,30,33,35
6,7,21,23,29,36
6,12,21,23,26,31
7,15,19,26,29,38
8,17,27,32,34,37
6,15,16,26,32,35
1,6,17,28,32,33
2,8,12,16,17,38
3,6,14,26,30,39
12,21,23,26,35,36
15,18,20,25,34,39
12,22,26,35,36,39
9,23,25,29,31,33
10,21,28,33,36,38
12,17,22,23,25,39
1,7,14,26,31,32
7,8,15,17,20,36
4,8,11,25,31,38
1,8,14,19,31,39
7,12,20,30,32,34
6,12,15,27,28,31
7,17,26,27,28,37
3,19,23,24,36,38
3,5,8,21,30,36
6,22,30,31,33,39
1,7,13,30,33,34
1,8,17,24,27,28
1,5,19,22,27,33
8,10,15,24,27,28
4,24,25,30,32,37
2,8,13,28,29,34
8,10,12,13,25,28
2,10,13,22,28,38
6,11,18,21,24,27
2,4,7,11,17,19
1,7,15,21,28,31
2,14,15,20,26,38
4,17,21,24,29,38
4,5,14,27,30,32
2,3,6,11,16,26
14,17,18,24,32,34
3,5,12,13,24,26
2,5,13,17,23,25
13,16,19,26,31,35
4,8,9,10,15,17
3,19,20,27,28,32
2,3,7,30,31,38
8,27,31,32,37,39
5,8,17,23,31,39
6,7,12,20,24,36
3,4,5,11,33,38
11,22,23,26,28,38
7,13,16,34,38,39
6,9,15,29,33,36
3,15,17,21,23,30
2,16,22,23,35,36
4,9,12,30,32,39
12,17,21,22,24,34
1,5,9,22,35,36
3,9,14,15,21,30
5,7,11,21,25,37
2,15,22,28,37,38
11,14,17,20,27,35
6,7,11,23,32,38
2,7,13,16,31,33
5,8,13,18,27,39
6,8,13,19,21,39
5,6,7,26,27,36
1,4,7,17,29,30
3,12,22,23,33,37
2,11,17,21,31,38
4,7,13,14,24,35
4,7,9,23,29,33
2,20,21,22,26,32
8,13,14,28,29,39
2,18,21,29,32,33
1,4,5,17,28,39
16,25,26,29,33,39
3,4,9,18,19,31
1,9,17,29,33,38
7,13,20,22,29,37
4,17,26,29,32,39
2,17,25,28,29,33
2,4,6,10,19,25
6,14,15,19,31,35
1,6,8,10,22,33
5,11,16,17,22,37
8,15,19,25,33,35
1,13,23,24,26,39
9,16,20,32,34,36
4,10,14,21,28,38
8,16,18,35,37,39
7,10,18,19,24,25
8,12,14,16,19,29
2,6,20,26,30,32
2,3,18,23,28,29
6,8,26,28,31,33
5,8,17,29,38,39
4,8,20,29,30,35
1,5,12,14,26,31
6,9,26,31,34,37
1,14,26,31,35,38
1,4,12,17,21,32
4,9,11,22,31,34
4,10,23,26,29,32
9,11,12,26,30,36
6,7,22,30,34,36
1,4,10,33,34,36
2,4,20,30,31,32
13,18,22,25,29,33
1,2,6,20,28,34
18,19,21,23,24,37
6,7,10,14,24,26
16,19,21,29,30,37
1,5,6,13,14,16
6,15,22,34,37,39
6,8,11,13,14,36
3,11,14,30,31,39
4,9,11,14,20,26
9,12,14,19,27,36
10,15,24,25,29,34
5,10,16,17,20,39
4,6,9,11,23,39
5,6,26,28,36,38
4,17,26,29,34,39
2,6,19,24,37,39
1,11,13,16,31,39
3,9,10,11,33,36
5,7,8,23,32,37
6,14,16,21,23,37
15,18,27,28,31,38
4,8,9,10,19,20
3,5,9,11,14,33
4,11,17,26,27,37
2,18,19,20,21,29
3,7,16,28,32,34
5,10,14,21,32,38
2,11,23,25,33,37
15,24,30,32,34,36
11,14,23,26,30,39
5,7,10,20,30,34
2,6,27,28,30,35
17,20,25,28,29,32
9,11,17,24,26,35
1,15,18,20,26,27
2,14,21,22,24,26
2,8,11,16,30,33
2,21,24,26,28,30
1,2,4,15,16,34
13,20,22,24,25,33
3,11,14,27,28,31
12,19,25,34,36,38
3,6,10,17,26,38
12,17,27,29,37,39
4,12,13,14,22,38
7,16,17,27,38,39
17,22,30,31,33,39
7,11,19,21,29,30
7,16,17,24,32,39
4,6,7,8,20,38
13,19,20,27,33,36
4,14,17,25,26,37
1,8,13,14,15,26
8,11,12,13,26,39
2,7,16,21,32,35
5,25,27,28,33,38
10,13,15,22,23,24
15,24,29,32,36,37
10,13,24,29,35,36
5,6,15,16,24,35
16,20,22,27,33,37
3,4,11,15,17,19
6,12,15,19,27,32
19,20,22,35,36,37
7,8,10,14,15,25
13,15,22,27,36,39
1,19,20,24,32,39
1,2,5,17,18,31
4,14,20,21,23,28
8,16,25,30,34,36
8,11,15,16,22,37
2,4,5,22,29,32
1,3,12,13,22,33
9,10,11,13,31,33
3,7,21,25,27,29
8,13,14,25,36,39
5,8,12,21,24,33
10,12,16,25,28,31
5,16,17,29,36,39
2,3,5,6,7,19
7,19,22,24,25,35
13,15,24,30,36,37
6,9,14,23,27,31
2,7,17,21,24,34
1,11,13,20,30,39
8,10,12,13,17,27
5,19,20,26,31,33
3,15,23,28,32,37
3,6,12,19,38,39
12,13,23,24,26,27
3,4,18,24,28,34
6,10,24,27,32,36
11,12,13,28,29,30
1,7,17,22,30,34
9,12,15,18,20,36
15,19,23,24,25,26
6,9,10,29,31,36
9,12,18,25,26,35
8,23,25,28,34,35
2,8,20,30,33,38
5,10,20,30,32,39
7,13,22,30,32,39
5,7,21,31,36,38
5,8,10,19,25,35
6,20,21,23,34,37
1,3,24,25,29,35
12,13,14,23,28,38
18,20,23,25,27,32
11,12,21,24,29,33
3,9,12,19,20,37
5,7,8,13,32,38
14,22,28,29,31,33
3,4,18,22,29,38
3,8,13,20,23,24
1,6,9,12,21,31
4,24,27,28,30,33
2,8,16,32,33,37
9,10,30,33,36,39
6,13,16,27,34,35
13,14,20,21,27,36
2,11,15,24,27,29
3,13,14,17,27,29
4,14,16,24,28,34
1,11,12,19,37,38
9,19,20,22,24,31
3,4,5,22,25,27
7,10,16,26,30,35
4,12,13,15,29,37
4,11,13,33,35,38
7,11,13,16,26,33
11,16,17,26,28,35
6,11,20,30,34,35
1,17,19,29,30,38
12,14,15,26,31,37
2,7,9,10,24,29
3,23,25,27,29,30
9,23,27,31,36,38
5,12,14,28,35,36
1,8,11,25,26,37
1,4,12,16,21,26
8,15,17,21,31,33
3,4,9,16,20,38
3,4,23,32,37,38
7,10,16,33,34,36
11,21,24,28,32,37
6,12,18,23,27,28
1,22,28,29,37,38
1,7,10,17,20,28
5,9,11,22,27,29
1,3,5,11,16,17
2,5,14,29,31,38
5,6,8,11,13,36
1,6,16,20,24,33
3,12,15,21,22,36
7,15,17,26,27,29
10,11,14,22,27,30
17,19,20,32,36,39
4,24,27,30,31,37
5,15,24,33,36,39
3,14,16,17,25,28
4,13,15,19,36,37
6,9,13,14,19,34
2,3,5,16,24,25
4,7,11,13,19,35
8,10,29,34,37,38
2,4,11,21,26,33
5,8,18,28,29,38
4,10,19,24,28,31
6,11,32,33,34,39
2,12,16,32,33,39
3,15,19,21,32,38
8,14,19,24,32,38
1,10,12,13,27,33
17,21,22,27,28,29
3,5,7,17,21,22
6,16,20,23,29,36
2,7,9,10,12,15
3,9,12,21,25,26
8,14,26,29,32,39
7,13,21,22,35,38
7,10,24,27,28,35
9,15,16,29,37,39
5,10,23,24,27,30
1,5,7,19,28,29
14,15,18,20,31,35
5,6,17,25,34,39
16,21,22,29,35,38
20,22,26,27,38,39
8,15,17,18,21,23
3,7,29,34,35,39
1,5,7,12,36,38
8,11,17,32,33,39
12,13,17,20,31,35
1,2,7,18,29,34
10,15,24,27,28,39
2,7,11,22,26,34
5,7,15,25,29,32
6,10,11,12,24,26
4,7,23,30,38,39
4,9,15,20,24,34
4,16,19,24,33,34
6,9,10,14,27,29
6,11,20,22,25,38
7,17,19,21,27,38
4,7,12,21,24,25
8,10,13,14,33,36
9,11,19,22,26,30
7,20,21,25,26,30
9,21,24,26,31,35
7,8,16,18,29,33
13,14,24,29,31,35
7,12,22,31,37,38
4,11,17,22,26,39
13,14,20,25,34,39
14,17,19,25,32,34
2,10,12,17,19,29
8,12,18,20,26,38
2,11,12,20,31,37
6,9,10,15,29,38
6,9,10,17,28,34
3,25,33,34,35,36
1,4,15,24,29,33
1,2,13,23,30,35
2,3,9,28,36,38
5,14,15,23,25,36
5,6,7,15,33,38
4,18,20,22,30,34
3,12,15,17,19,36
9,12,14,24,35,36
8,12,15,19,24,25
7,17,20,31,32,36
7,19,33,34,35,37
4,18,19,29,30,38
1,3,8,24,30,33
1,6,10,25,28,33
1,2,4,7,8,21
4,10,24,30,34,36
1,2,4,8,9,35
7,8,12,16,29,31
6,9,20,22,29,39
3,14,19,22,32,38
2,9,19,20,21,31
4,5,17,29,35,38
3,11,21,33,37,38
1,21,23,29,31,38
3,14,15,21,22,29
